algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
1,sm_89,256,256,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.00744192,0.00435731,0.585509,0
1,sm_89,256,512,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0101607,0.00545693,0.53706,0
1,sm_89,256,1024,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0155373,0.00759478,0.48881,0
1,sm_89,256,2048,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0245114,0.00892752,0.364219,0
1,sm_89,256,4096,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0452833,0.012657,0.279508,0
1,sm_89,256,8192,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0877816,0.0234443,0.267075,0
1,sm_89,256,16384,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.171015,0.0375928,0.219821,0
1,sm_89,256,256,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.00851517,0.00500378,0.587631,0
1,sm_89,256,512,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0122949,0.00559722,0.455247,0
1,sm_89,256,1024,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0202515,0.00908646,0.448681,0
1,sm_89,256,2048,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0363003,0.0129933,0.357939,0
1,sm_89,256,4096,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0738317,0.0225507,0.305433,0
1,sm_89,256,8192,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.153944,0.0288272,0.187257,0
1,sm_89,256,16384,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.322006,0.0489727,0.152087,0
1,sm_89,256,256,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0119692,0.00569376,0.4757,0
1,sm_89,256,512,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.018911,0.00703766,0.372146,0
1,sm_89,256,1024,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.034894,0.0116886,0.334974,0
1,sm_89,256,2048,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0700894,0.0170709,0.243559,0
1,sm_89,256,4096,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.15173,0.028535,0.188064,0
1,sm_89,256,8192,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.321722,0.0575769,0.178965,0
1,sm_89,256,16384,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.683622,0.0916758,0.134103,0
1,sm_89,256,256,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0197036,0.00635616,0.32259,0
1,sm_89,256,512,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0330586,0.0130002,0.393246,0
1,sm_89,256,1024,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0655519,0.0179697,0.274129,0
1,sm_89,256,2048,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.138784,0.0304386,0.219324,0
1,sm_89,256,4096,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.286301,0.0516244,0.180315,0
1,sm_89,256,8192,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.626915,0.0819756,0.13076,0
1,sm_89,256,16384,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.39361,0.144162,0.103445,0
1,sm_89,256,256,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0337696,0.00980826,0.290446,0
1,sm_89,256,512,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0620013,0.0146793,0.236758,0
1,sm_89,256,1024,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.123458,0.0278676,0.225726,0
1,sm_89,256,2048,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.252664,0.0479574,0.189807,0
1,sm_89,256,4096,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.55274,0.0804522,0.145552,0
1,sm_89,256,8192,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.25483,0.169572,0.135136,0
1,sm_89,256,16384,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,2.81999,0.275944,0.0978526,0
1,sm_89,256,256,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0630705,0.0187066,0.296597,0
1,sm_89,256,512,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.116316,0.0254933,0.219173,0
1,sm_89,256,1024,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.233556,0.0432001,0.184967,0
1,sm_89,256,2048,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.474816,0.0917537,0.193241,0
1,sm_89,256,4096,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.06826,0.173237,0.162167,0
1,sm_89,256,8192,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,2.49123,0.302487,0.121421,0
1,sm_89,256,16384,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,5.74878,0.791923,0.137755,0
1,sm_89,256,256,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.121033,0.0344439,0.284583,0
