algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
2,sm_89,256,256,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.00410829,0.00411616,1.00192,0
2,sm_89,256,512,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.00569283,0.00559165,0.982226,0
2,sm_89,256,1024,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.00891933,0.00604896,0.678186,0
2,sm_89,256,2048,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.0161412,0.00970278,0.601119,0
2,sm_89,256,4096,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.0297412,0.0124695,0.419266,0
2,sm_89,256,8192,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.056989,0.0219806,0.385699,0
2,sm_89,256,16384,256,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.135157,0.0405384,0.299936,0
2,sm_89,256,256,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.00415933,0.00470528,1.13126,0
2,sm_89,256,512,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.0058024,0.00586762,1.01124,0
2,sm_89,256,1024,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.00895539,0.00843878,0.942313,0
2,sm_89,256,2048,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.0162492,0.0117601,0.723733,0
2,sm_89,256,4096,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.0298162,0.0249586,0.837082,0
2,sm_89,256,8192,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.0716233,0.0369506,0.515902,0
2,sm_89,256,16384,512,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.136056,0.0485822,0.357074,0
2,sm_89,256,256,1024,32,4,2,8,0.5,128,64,32,32,64,32,16,8,32,2,0.00420138,0.00586774,1.39662,0
