algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
4,sm_89,256,256,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00610294,0.00425472,0.697159,0
4,sm_89,256,512,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0080113,0.00552538,0.689698,0
4,sm_89,256,1024,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0102788,0.00631053,0.613937,0
4,sm_89,256,2048,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0158258,0.00978125,0.618059,0
4,sm_89,256,4096,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0264997,0.0125254,0.472661,0
4,sm_89,256,8192,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0497163,0.0218621,0.439738,0
4,sm_89,256,16384,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0926518,0.0407499,0.439818,0
4,sm_89,256,256,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00579936,0.00466669,0.80469,0
4,sm_89,256,512,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00756854,0.00589072,0.778316,0
4,sm_89,256,1024,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00984566,0.00849597,0.862915,0
4,sm_89,256,2048,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0158098,0.0117325,0.742104,0
4,sm_89,256,4096,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0266467,0.0249376,0.935861,0
4,sm_89,256,8192,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0493882,0.0372475,0.754179,0
4,sm_89,256,16384,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.087845,0.0490036,0.557842,0
4,sm_89,256,256,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00587386,0.00561648,0.956183,0
4,sm_89,256,512,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00771584,0.00674579,0.874278,0
4,sm_89,256,1024,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00993293,0.0105515,1.06227,0
4,sm_89,256,2048,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0159673,0.01829,1.14546,0
4,sm_89,256,4096,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0279501,0.0291292,1.04219,0
4,sm_89,256,8192,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0497023,0.0455474,0.916405,0
4,sm_89,256,16384,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0926058,0.0771284,0.832867,0
4,sm_89,256,256,2048,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00678848,0.00666714,0.982125,0
4,sm_89,256,512,2048,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00857021,0.00917366,1.07041,0
4,sm_89,256,1024,2048,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0121097,0.0144655,1.19454,0
4,sm_89,256,2048,2048,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0215277,0.0268595,1.24767,0
4,sm_89,256,4096,2048,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0372828,0.0498654,1.33749,0
