model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,1851.213216781616,flash_attention_2,2212.6
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,2003.664255142212,flash_attention_2,2044.25
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,2327.944755554199,flash_attention_2,1759.49
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,2357.513189315796,flash_attention_2,1737.42
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,3615.17071723938,flash_attention_2,2266.01
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,3920.069932937622,flash_attention_2,2089.76
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,4791.272640228272,flash_attention_2,1709.78
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,4622.633695602417,flash_attention_2,1772.15
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,6905.245542526245,flash_attention_2,2372.69
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,7713.850498199463,flash_attention_2,2123.97
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,9655.710458755491,flash_attention_2,1696.82
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,9349.774599075316,flash_attention_2,1752.34
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,13676.010847091677,flash_attention_2,2396.02
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,15265.658378601074,flash_attention_2,2146.52
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,19494.333267211918,flash_attention_2,1680.9
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,19001.554250717163,flash_attention_2,1724.49
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,27270.447731018063,flash_attention_2,2403.19
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,30199.5153427124,flash_attention_2,2170.1
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,38017.94910430908,flash_attention_2,1723.82
Mixtral,layer,EXACT,100,32,4096,4096,14336,8,54054.38947677612,flash_attention_2,2424.82
Mixtral,layer,Samoyeds,100,32,4096,4096,14336,8,59971.45080566406,flash_attention_2,2185.57
Mixtral,layer,GEMM,100,32,4096,4096,14336,8,77342.61155128479,flash_attention_2,1694.69
Mixtral,layer,GEMM,100,64,4096,4096,14336,8,158962.06998825073,flash_attention_2,1649.1
Mixtral,layer,EXACT,100,1,4096,6144,16384,8,3081.6197395324707,flash_attention_2,1329.17
Mixtral,layer,Samoyeds,100,1,4096,6144,16384,8,3497.0908164978027,flash_attention_2,1171.26
Mixtral,layer,megablocks,100,1,4096,6144,16384,8,4025.996208190918,flash_attention_2,1017.39
Mixtral,layer,GEMM,100,1,4096,6144,16384,8,3996.639251708984,flash_attention_2,1024.86
Mixtral,layer,EXACT,100,2,4096,6144,16384,8,5659.446954727173,flash_attention_2,1447.49
Mixtral,layer,Samoyeds,100,2,4096,6144,16384,8,6411.941051483154,flash_attention_2,1277.62
Mixtral,layer,megablocks,100,2,4096,6144,16384,8,8075.372695922852,flash_attention_2,1014.44
Mixtral,layer,GEMM,100,2,4096,6144,16384,8,7772.25399017334,flash_attention_2,1054.01
Mixtral,layer,EXACT,100,4,4096,6144,16384,8,10837.491273880005,flash_attention_2,1511.79
Mixtral,layer,Samoyeds,100,4,4096,6144,16384,8,12320.003271102903,flash_attention_2,1329.87
Mixtral,layer,megablocks,100,4,4096,6144,16384,8,16249.979972839355,flash_attention_2,1008.25
Mixtral,layer,GEMM,100,4,4096,6144,16384,8,15616.239547729492,flash_attention_2,1049.16
Mixtral,layer,EXACT,100,8,4096,6144,16384,8,21214.75386619568,flash_attention_2,1544.59
Mixtral,layer,Samoyeds,100,8,4096,6144,16384,8,24192.59810447693,flash_attention_2,1354.46
Mixtral,layer,megablocks,100,8,4096,6144,16384,8,33185.036182403564,flash_attention_2,987.43
Mixtral,layer,GEMM,100,8,4096,6144,16384,8,31878.071069717407,flash_attention_2,1027.92
Mixtral,layer,EXACT,100,16,4096,6144,16384,8,42037.12844848633,flash_attention_2,1559.0
Mixtral,layer,Samoyeds,100,16,4096,6144,16384,8,47996.01316452026,flash_attention_2,1365.45
Mixtral,layer,megablocks,100,16,4096,6144,16384,8,66596.87805175781,flash_attention_2,984.07
Mixtral,layer,GEMM,100,16,4096,6144,16384,8,63803.16996574402,flash_attention_2,1027.16
Mixtral,layer,EXACT,100,32,4096,6144,16384,8,84186.05852127075,flash_attention_2,1556.93
Mixtral,layer,Samoyeds,100,32,4096,6144,16384,8,96168.5562133789,flash_attention_2,1362.94
Mixtral,layer,GEMM,100,32,4096,6144,16384,8,128974.3103981018,flash_attention_2,1016.26
DeepSeek,layer,EXACT,100,1,4096,2048,1408,64,1169.769287109375,flash_attention_2,3501.55
DeepSeek,layer,Samoyeds,100,1,4096,2048,1408,64,958.6141109466552,flash_attention_2,4272.84
DeepSeek,layer,megablocks,100,1,4096,2048,1408,64,600.416898727417,flash_attention_2,6821.93
DeepSeek,layer,GEMM,100,1,4096,2048,1408,64,1147.8447914123535,flash_attention_2,3568.43
DeepSeek,layer,EXACT,100,2,4096,2048,1408,64,1695.9142684936523,flash_attention_2,4830.43
DeepSeek,layer,Samoyeds,100,2,4096,2048,1408,64,1558.5641860961914,flash_attention_2,5256.12
DeepSeek,layer,megablocks,100,2,4096,2048,1408,64,1228.0499935150146,flash_attention_2,6670.74
