model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,1810.9660148620603,flash_attention_2,2261.78
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,1995.9800243377688,flash_attention_2,2052.12
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,2339.9314880371094,flash_attention_2,1750.48
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,2316.63179397583,flash_attention_2,1768.08
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,3557.025671005249,flash_attention_2,2303.05
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,3940.748929977417,flash_attention_2,2078.79
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,4834.964036941528,flash_attention_2,1694.32
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,4541.727304458618,flash_attention_2,1803.72
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,6884.928464889526,flash_attention_2,2379.69
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,7761.052131652832,flash_attention_2,2111.05
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,9776.032209396362,flash_attention_2,1675.94
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,9222.292423248293,flash_attention_2,1776.56
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,13668.962478637695,flash_attention_2,2397.26
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,15367.30933189392,flash_attention_2,2132.32
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,19783.99634361267,flash_attention_2,1656.29
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,18682.628870010376,flash_attention_2,1753.93
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,27278.663158416748,flash_attention_2,2402.46
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,30357.75876045227,flash_attention_2,2158.79
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,37867.3210144043,flash_attention_2,1730.67
Mixtral,layer,EXACT,100,32,4096,4096,14336,8,54079.49209213257,flash_attention_2,2423.69
Mixtral,layer,Samoyeds,100,32,4096,4096,14336,8,60375.80394744873,flash_attention_2,2170.94
Mixtral,layer,GEMM,100,32,4096,4096,14336,8,76048.0227470398,flash_attention_2,1723.54
Mixtral,layer,GEMM,100,64,4096,4096,14336,8,156452.1358013153,flash_attention_2,1675.55
Mixtral,layer,EXACT,100,1,4096,6144,16384,8,3064.1512870788574,flash_attention_2,1336.75
Mixtral,layer,Samoyeds,100,1,4096,6144,16384,8,3503.55863571167,flash_attention_2,1169.1
Mixtral,layer,megablocks,100,1,4096,6144,16384,8,4059.569120407105,flash_attention_2,1008.97
Mixtral,layer,GEMM,100,1,4096,6144,16384,8,3997.474431991577,flash_attention_2,1024.65
Mixtral,layer,EXACT,100,2,4096,6144,16384,8,5634.171962738037,flash_attention_2,1453.98
Mixtral,layer,Samoyeds,100,2,4096,6144,16384,8,6461.478233337402,flash_attention_2,1267.82
Mixtral,layer,megablocks,100,2,4096,6144,16384,8,8177.857398986816,flash_attention_2,1001.73
