model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,1874.818563461304,flash_attention_2,2184.74
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,1997.5461959838867,flash_attention_2,2050.52
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,2344.062566757202,flash_attention_2,1747.39
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,2327.065706253052,flash_attention_2,1760.16
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,3680.797338485718,flash_attention_2,2225.6
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,3938.871383666992,flash_attention_2,2079.78
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,4836.598634719849,flash_attention_2,1693.75
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,4562.834739685059,flash_attention_2,1795.38
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,7127.015829086304,flash_attention_2,2298.86
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,7754.868984222412,flash_attention_2,2112.74
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,9777.359247207642,flash_attention_2,1675.71
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,9214.068412780762,flash_attention_2,1778.15
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,14132.120609283447,flash_attention_2,2318.69
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,15377.393007278442,flash_attention_2,2130.92
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,19805.82928657532,flash_attention_2,1654.46
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,18632.566452026367,flash_attention_2,1758.64
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,28038.13910484314,flash_attention_2,2337.39
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,30356.68683052063,flash_attention_2,2158.87
Mixtral,layer,megablocks,100,16,4096,4096,14336,8,40820.48616409302,flash_attention_2,1605.47
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,37837.525844573975,flash_attention_2,1732.04
Mixtral,layer,EXACT,100,32,4096,4096,14336,8,56032.02700614929,flash_attention_2,2339.23
Mixtral,layer,Samoyeds,100,32,4096,4096,14336,8,60403.57041358948,flash_attention_2,2169.94
Mixtral,layer,GEMM,100,32,4096,4096,14336,8,76489.55798149109,flash_attention_2,1713.59
Mixtral,layer,GEMM,100,64,4096,4096,14336,8,156819.67163085938,flash_attention_2,1671.63
Mixtral,layer,EXACT,100,1,4096,6144,16384,8,3203.399419784546,flash_attention_2,1278.64
Mixtral,layer,Samoyeds,100,1,4096,6144,16384,8,3505.485773086548,flash_attention_2,1168.45
Mixtral,layer,megablocks,100,1,4096,6144,16384,8,4064.99695777893,flash_attention_2,1007.63
Mixtral,layer,GEMM,100,1,4096,6144,16384,8,3997.90096282959,flash_attention_2,1024.54
Mixtral,layer,EXACT,100,2,4096,6144,16384,8,5996.896266937256,flash_attention_2,1366.04
Mixtral,layer,Samoyeds,100,2,4096,6144,16384,8,6465.170621871948,flash_attention_2,1267.1
Mixtral,layer,megablocks,100,2,4096,6144,16384,8,8191.740989685059,flash_attention_2,1000.03
Mixtral,layer,GEMM,100,2,4096,6144,16384,8,7747.498035430908,flash_attention_2,1057.37
Mixtral,layer,EXACT,100,4,4096,6144,16384,8,11449.518918991089,flash_attention_2,1430.98
Mixtral,layer,Samoyeds,100,4,4096,6144,16384,8,12429.234504699709,flash_attention_2,1318.18
Mixtral,layer,megablocks,100,4,4096,6144,16384,8,16549.73530769348,flash_attention_2,989.99
Mixtral,layer,GEMM,100,4,4096,6144,16384,8,15565.844535827637,flash_attention_2,1052.56
Mixtral,layer,EXACT,100,8,4096,6144,16384,8,22303.46369743347,flash_attention_2,1469.19
Mixtral,layer,Samoyeds,100,8,4096,6144,16384,8,24364.501237869263,flash_attention_2,1344.91
Mixtral,layer,megablocks,100,8,4096,6144,16384,8,33379.878282547,flash_attention_2,981.67
Mixtral,layer,GEMM,100,8,4096,6144,16384,8,31331.08925819397,flash_attention_2,1045.86
Mixtral,layer,EXACT,100,16,4096,6144,16384,8,44400.58064460754,flash_attention_2,1476.02
Mixtral,layer,Samoyeds,100,16,4096,6144,16384,8,48320.740938186646,flash_attention_2,1356.27
Mixtral,layer,megablocks,100,16,4096,6144,16384,8,66811.54417991638,flash_attention_2,980.91
Mixtral,layer,GEMM,100,16,4096,6144,16384,8,63724.40147399902,flash_attention_2,1028.43
Mixtral,layer,EXACT,100,32,4096,6144,16384,8,88114.82858657837,flash_attention_2,1487.51
Mixtral,layer,Samoyeds,100,32,4096,6144,16384,8,96653.8701057434,flash_attention_2,1356.1
Mixtral,layer,GEMM,100,32,4096,6144,16384,8,126683.63308906557,flash_attention_2,1034.64
DeepSeek,layer,EXACT,100,1,4096,2048,1408,64,1179.201602935791,flash_attention_2,3473.54
DeepSeek,layer,Samoyeds,100,1,4096,2048,1408,64,956.5601348876952,flash_attention_2,4282.01
DeepSeek,layer,megablocks,100,1,4096,2048,1408,64,606.1508655548096,flash_attention_2,6757.39
DeepSeek,layer,GEMM,100,1,4096,2048,1408,64,1154.8643112182615,flash_attention_2,3546.74
DeepSeek,layer,EXACT,100,2,4096,2048,1408,64,1725.149631500244,flash_attention_2,4748.57
DeepSeek,layer,Samoyeds,100,2,4096,2048,1408,64,1552.7019500732422,flash_attention_2,5275.96
DeepSeek,layer,megablocks,100,2,4096,2048,1408,64,1235.5668544769287,flash_attention_2,6630.16
DeepSeek,layer,GEMM,100,2,4096,2048,1408,64,1772.752285003662,flash_attention_2,4621.06
DeepSeek,layer,EXACT,100,4,4096,2048,1408,64,3128.5860538482666,flash_attention_2,5236.87
DeepSeek,layer,Samoyeds,100,4,4096,2048,1408,64,3090.752601623535,flash_attention_2,5300.97
DeepSeek,layer,megablocks,100,4,4096,2048,1408,64,2692.681312561035,flash_attention_2,6084.64
DeepSeek,layer,GEMM,100,4,4096,2048,1408,64,3312.5057220458984,flash_attention_2,4946.1
DeepSeek,layer,EXACT,100,8,4096,2048,1408,64,5908.203125,flash_attention_2,5546.19
DeepSeek,layer,Samoyeds,100,8,4096,2048,1408,64,5981.996774673462,flash_attention_2,5477.77
DeepSeek,layer,megablocks,100,8,4096,2048,1408,64,5359.53950881958,flash_attention_2,6113.96
DeepSeek,layer,GEMM,100,8,4096,2048,1408,64,6339.627742767334,flash_attention_2,5168.76
DeepSeek,layer,EXACT,100,16,4096,2048,1408,64,11271.572828292848,flash_attention_2,5814.27
DeepSeek,layer,Samoyeds,100,16,4096,2048,1408,64,11659.592866897585,flash_attention_2,5620.78
DeepSeek,layer,megablocks,100,16,4096,2048,1408,64,10503.358840942385,flash_attention_2,6239.53
DeepSeek,layer,GEMM,100,16,4096,2048,1408,64,12525.18606185913,flash_attention_2,5232.34
DeepSeek,layer,EXACT,100,32,4096,2048,1408,64,21987.370252609253,flash_attention_2,5961.24
DeepSeek,layer,Samoyeds,100,32,4096,2048,1408,64,22994.24695968628,flash_attention_2,5700.21
DeepSeek,layer,megablocks,100,32,4096,2048,1408,64,20733.062028884888,flash_attention_2,6321.88
DeepSeek,layer,GEMM,100,32,4096,2048,1408,64,24795.16100883484,flash_attention_2,5286.19
DeepSeek,layer,EXACT,100,64,4096,2048,1408,64,43481.70590400696,flash_attention_2,6028.83
DeepSeek,layer,Samoyeds,100,64,4096,2048,1408,64,45660.27569770813,flash_attention_2,5741.18
DeepSeek,layer,GEMM,100,64,4096,2048,1408,64,48837.27550506592,flash_attention_2,5367.7
qwen2_moe,layer,EXACT,100,1,4096,2048,5632,60,2010.568380355835,flash_attention_2,2037.23
qwen2_moe,layer,Samoyeds,100,1,4096,2048,5632,60,1799.6530532836914,flash_attention_2,2275.99
qwen2_moe,layer,megablocks,100,1,4096,2048,5632,60,973.8006591796876,flash_attention_2,4206.2
qwen2_moe,layer,GEMM,100,1,4096,2048,5632,60,1593.4534072875977,flash_attention_2,2570.52
qwen2_moe,layer,EXACT,100,2,4096,2048,5632,60,2987.856388092041,flash_attention_2,2741.76
qwen2_moe,layer,Samoyeds,100,2,4096,2048,5632,60,2942.446231842041,flash_attention_2,2784.08
qwen2_moe,layer,megablocks,100,2,4096,2048,5632,60,2048.3760833740234,flash_attention_2,3999.27
qwen2_moe,layer,GEMM,100,2,4096,2048,5632,60,2786.1196994781494,flash_attention_2,2940.29
qwen2_moe,layer,EXACT,100,4,4096,2048,5632,60,5095.799446105957,flash_attention_2,3215.20
qwen2_moe,layer,Samoyeds,100,4,4096,2048,5632,60,5198.408365249634,flash_attention_2,3151.73
qwen2_moe,layer,megablocks,100,4,4096,2048,5632,60,4439.377546310425,flash_attention_2,3690.61
qwen2_moe,layer,GEMM,100,4,4096,2048,5632,60,5283.493518829346,flash_attention_2,3100.98
qwen2_moe,layer,EXACT,100,8,4096,2048,5632,60,9007.9927444458,flash_attention_2,3637.66
qwen2_moe,layer,Samoyeds,100,8,4096,2048,5632,60,9291.357278823853,flash_attention_2,3526.72
qwen2_moe,layer,megablocks,100,8,4096,2048,5632,60,8771.103620529175,flash_attention_2,3735.9
qwen2_moe,layer,GEMM,100,8,4096,2048,5632,60,10004.398107528688,flash_attention_2,3275.36
qwen2_moe,layer,EXACT,100,16,4096,2048,5632,60,16548.117876052856,flash_attention_2,3960.33
qwen2_moe,layer,Samoyeds,100,16,4096,2048,5632,60,17482.65790939331,flash_attention_2,3748.63
qwen2_moe,layer,megablocks,100,16,4096,2048,5632,60,17351.136207580566,flash_attention_2,3777.04
qwen2_moe,layer,GEMM,100,16,4096,2048,5632,60,19976.845026016235,flash_attention_2,3280.6
qwen2_moe,layer,EXACT,100,32,4096,2048,5632,60,31997.071981430054,flash_attention_2,4096.37
qwen2_moe,layer,Samoyeds,100,32,4096,2048,5632,60,33994.733810424805,flash_attention_2,3855.66
qwen2_moe,layer,GEMM,100,32,4096,2048,5632,60,39946.64144515991,flash_attention_2,3281.18
qwen2_moe,layer,EXACT,100,64,4096,2048,5632,60,62398.89621734619,flash_attention_2,4201.1
qwen2_moe,layer,Samoyeds,100,64,4096,2048,5632,60,66961.61270141602,flash_attention_2,3914.84
qwen2_moe,layer,GEMM,100,64,4096,2048,5632,60,80025.22993087769,flash_attention_2,3275.77
