model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,1942.2814846038816,flash_attention_2,2108.86
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,2001.6953945159912,flash_attention_2,2046.27
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,2319.4053173065186,flash_attention_2,1765.97
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,2347.886800765991,flash_attention_2,1744.55
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,3740.445613861084,flash_attention_2,2190.11
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,3916.512966156006,flash_attention_2,2091.66
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,4788.956642150879,flash_attention_2,1710.6
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,4628.465414047241,flash_attention_2,1769.92
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,7273.611068725586,flash_attention_2,2252.53
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,7700.10495185852,flash_attention_2,2127.76
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,9660.149097442629,flash_attention_2,1696.04
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,9371.2260723114,flash_attention_2,1748.33
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,14392.608880996704,flash_attention_2,2276.72
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,15302.747011184692,flash_attention_2,2141.31
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,19498.607635498047,flash_attention_2,1680.53
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,18989.396810531616,flash_attention_2,1725.59
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,28669.554471969604,flash_attention_2,2285.91
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,30165.29393196106,flash_attention_2,2172.56
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,38016.21985435486,flash_attention_2,1723.9
Mixtral,layer,EXACT,100,32,4096,4096,14336,8,57117.74611473084,flash_attention_2,2294.77
Mixtral,layer,Samoyeds,100,32,4096,4096,14336,8,60046.695947647095,flash_attention_2,2182.83
Mixtral,layer,GEMM,100,32,4096,4096,14336,8,77287.77265548706,flash_attention_2,1695.9
Mixtral,layer,GEMM,100,64,4096,4096,14336,8,158544.79002952576,flash_attention_2,1653.44
Mixtral,layer,EXACT,100,1,4096,6144,16384,8,3405.43270111084,flash_attention_2,1202.78
Mixtral,layer,Samoyeds,100,1,4096,6144,16384,8,3500.7340908050537,flash_attention_2,1170.04
Mixtral,layer,megablocks,100,1,4096,6144,16384,8,4028.530836105346,flash_attention_2,1016.75
Mixtral,layer,GEMM,100,1,4096,6144,16384,8,4007.90286064148,flash_attention_2,1021.98
Mixtral,layer,EXACT,100,2,4096,6144,16384,8,6245.419263839722,flash_attention_2,1311.68
Mixtral,layer,Samoyeds,100,2,4096,6144,16384,8,6421.389579772949,flash_attention_2,1275.74
Mixtral,layer,megablocks,100,2,4096,6144,16384,8,8083.674907684326,flash_attention_2,1013.4
Mixtral,layer,GEMM,100,2,4096,6144,16384,8,7803.343057632446,flash_attention_2,1049.81
Mixtral,layer,EXACT,100,4,4096,6144,16384,8,12002.15458869934,flash_attention_2,1365.09
Mixtral,layer,Samoyeds,100,4,4096,6144,16384,8,12324.475765228271,flash_attention_2,1329.39
Mixtral,layer,megablocks,100,4,4096,6144,16384,8,16263.79370689392,flash_attention_2,1007.39
Mixtral,layer,GEMM,100,4,4096,6144,16384,8,15674.077987670898,flash_attention_2,1045.29
Mixtral,layer,EXACT,100,8,4096,6144,16384,8,23666.38159751892,flash_attention_2,1384.58
Mixtral,layer,Samoyeds,100,8,4096,6144,16384,8,24193.328857421875,flash_attention_2,1354.42
Mixtral,layer,megablocks,100,8,4096,6144,16384,8,33109.50875282288,flash_attention_2,989.69
Mixtral,layer,GEMM,100,8,4096,6144,16384,8,31529.48260307312,flash_attention_2,1039.28
Mixtral,layer,EXACT,100,16,4096,6144,16384,8,47026.07178688049,flash_attention_2,1393.61
Mixtral,layer,Samoyeds,100,16,4096,6144,16384,8,47976.87339782715,flash_attention_2,1365.99
Mixtral,layer,megablocks,100,16,4096,6144,16384,8,66807.35802650452,flash_attention_2,980.97
Mixtral,layer,GEMM,100,16,4096,6144,16384,8,63343.79053115845,flash_attention_2,1034.61
Mixtral,layer,EXACT,100,32,4096,6144,16384,8,94291.33129119872,flash_attention_2,1390.07
Mixtral,layer,Samoyeds,100,32,4096,6144,16384,8,96055.0274848938,flash_attention_2,1364.55
Mixtral,layer,GEMM,100,32,4096,6144,16384,8,129405.31015396118,flash_attention_2,1012.88
DeepSeek,layer,EXACT,100,1,4096,2048,1408,64,1033.094882965088,flash_attention_2,3964.79
DeepSeek,layer,Samoyeds,100,1,4096,2048,1408,64,958.503007888794,flash_attention_2,4273.33
DeepSeek,layer,megablocks,100,1,4096,2048,1408,64,601.085901260376,flash_attention_2,6814.33
DeepSeek,layer,GEMM,100,1,4096,2048,1408,64,1146.052360534668,flash_attention_2,3574.01
DeepSeek,layer,EXACT,100,2,4096,2048,1408,64,1591.4809703826904,flash_attention_2,5147.41
DeepSeek,layer,Samoyeds,100,2,4096,2048,1408,64,1557.9380989074707,flash_attention_2,5258.23
DeepSeek,layer,megablocks,100,2,4096,2048,1408,64,1226.6757488250732,flash_attention_2,6678.21
DeepSeek,layer,GEMM,100,2,4096,2048,1408,64,1772.249460220337,flash_attention_2,4622.37
DeepSeek,layer,EXACT,100,4,4096,2048,1408,64,3064.0389919281006,flash_attention_2,5347.19
DeepSeek,layer,Samoyeds,100,4,4096,2048,1408,64,3085.436582565308,flash_attention_2,5310.11
DeepSeek,layer,megablocks,100,4,4096,2048,1408,64,2677.8275966644287,flash_attention_2,6118.39
DeepSeek,layer,GEMM,100,4,4096,2048,1408,64,3298.562526702881,flash_attention_2,4967.01
DeepSeek,layer,EXACT,100,8,4096,2048,1408,64,5875.486135482788,flash_attention_2,5577.07
DeepSeek,layer,Samoyeds,100,8,4096,2048,1408,64,5976.439714431763,flash_attention_2,5482.86
DeepSeek,layer,megablocks,100,8,4096,2048,1408,64,5299.17573928833,flash_attention_2,6183.6
DeepSeek,layer,GEMM,100,8,4096,2048,1408,64,6387.650966644287,flash_attention_2,5129.9
