model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100.0,1.0,4096.0,4096.0,14336.0,8.0,2045.1507568359373,flash_attention_2,2002.79
Mixtral,layer,Samoyeds,100.0,1.0,4096.0,4096.0,14336.0,8.0,2003.938913345337,flash_attention_2,2043.97
Mixtral,layer,megablocks,100.0,1.0,4096.0,4096.0,14336.0,8.0,2327.7955055236816,flash_attention_2,1759.6
Mixtral,layer,GEMM,100.0,1.0,4096.0,4096.0,14336.0,8.0,2360.915184020996,flash_attention_2,1734.92
Mixtral,layer,EXACT,100.0,2.0,4096.0,4096.0,14336.0,8.0,3989.0973567962646,flash_attention_2,2053.6
Mixtral,layer,Samoyeds,100.0,2.0,4096.0,4096.0,14336.0,8.0,3921.519994735718,flash_attention_2,2088.99
Mixtral,layer,megablocks,100.0,2.0,4096.0,4096.0,14336.0,8.0,4796.075344085693,flash_attention_2,1708.06
Mixtral,layer,GEMM,100.0,2.0,4096.0,4096.0,14336.0,8.0,4630.493879318237,flash_attention_2,1769.14
Mixtral,layer,EXACT,100.0,4.0,4096.0,4096.0,14336.0,8.0,7734.399557113647,flash_attention_2,2118.33
Mixtral,layer,Samoyeds,100.0,4.0,4096.0,4096.0,14336.0,8.0,7708.71090888977,flash_attention_2,2125.39
Mixtral,layer,megablocks,100.0,4.0,4096.0,4096.0,14336.0,8.0,9676.117658615112,flash_attention_2,1693.24
Mixtral,layer,GEMM,100.0,4.0,4096.0,4096.0,14336.0,8.0,9430.020332336426,flash_attention_2,1737.43
Mixtral,layer,EXACT,100.0,8.0,4096.0,4096.0,14336.0,8.0,15350.08668899536,flash_attention_2,2134.71
Mixtral,layer,Samoyeds,100.0,8.0,4096.0,4096.0,14336.0,8.0,15343.753337860107,flash_attention_2,2135.59
Mixtral,layer,megablocks,100.0,8.0,4096.0,4096.0,14336.0,8.0,19532.132863998413,flash_attention_2,1677.65
Mixtral,layer,GEMM,100.0,8.0,4096.0,4096.0,14336.0,8.0,18985.937356948853,flash_attention_2,1725.91
Mixtral,layer,EXACT,100.0,16.0,4096.0,4096.0,14336.0,8.0,30490.28730392456,flash_attention_2,2149.41
Mixtral,layer,Samoyeds,100.0,16.0,4096.0,4096.0,14336.0,8.0,30208.55498313904,flash_attention_2,2169.45
Mixtral,layer,GEMM,100.0,16.0,4096.0,4096.0,14336.0,8.0,38016.75915718079,flash_attention_2,1723.87
Mixtral,layer,EXACT,100.0,32.0,4096.0,4096.0,14336.0,8.0,60955.22403717041,flash_attention_2,2150.3
Mixtral,layer,Samoyeds,100.0,32.0,4096.0,4096.0,14336.0,8.0,60139.87946510315,flash_attention_2,2179.45
Mixtral,layer,GEMM,100.0,32.0,4096.0,4096.0,14336.0,8.0,78132.82227516174,flash_attention_2,1677.55
Mixtral,layer,GEMM,100.0,64.0,4096.0,4096.0,14336.0,8.0,159100.69608688354,flash_attention_2,1647.66
Mixtral,layer,EXACT,100.0,1.0,4096.0,6144.0,16384.0,8.0,3557.33323097229,flash_attention_2,1151.42
Mixtral,layer,Samoyeds,100.0,1.0,4096.0,6144.0,16384.0,8.0,3496.0432052612305,flash_attention_2,1171.61
Mixtral,layer,megablocks,100.0,1.0,4096.0,6144.0,16384.0,8.0,4030.967950820923,flash_attention_2,1016.13
Mixtral,layer,GEMM,100.0,1.0,4096.0,6144.0,16384.0,8.0,4004.175901412964,flash_attention_2,1022.93
Mixtral,layer,EXACT,100.0,2.0,4096.0,6144.0,16384.0,8.0,6488.328218460083,flash_attention_2,1262.57
Mixtral,layer,Samoyeds,100.0,2.0,4096.0,6144.0,16384.0,8.0,6423.948764801025,flash_attention_2,1275.23
Mixtral,layer,megablocks,100.0,2.0,4096.0,6144.0,16384.0,8.0,8081.860065460205,flash_attention_2,1013.63
Mixtral,layer,GEMM,100.0,2.0,4096.0,6144.0,16384.0,8.0,7848.603010177612,flash_attention_2,1043.75
Mixtral,layer,EXACT,100.0,4.0,4096.0,6144.0,16384.0,8.0,12489.445686340332,flash_attention_2,1311.83
Mixtral,layer,Samoyeds,100.0,4.0,4096.0,6144.0,16384.0,8.0,12317.311525344849,flash_attention_2,1330.16
Mixtral,layer,megablocks,100.0,4.0,4096.0,6144.0,16384.0,8.0,16285.196542739868,flash_attention_2,1006.07
Mixtral,layer,GEMM,100.0,4.0,4096.0,6144.0,16384.0,8.0,15858.362436294556,flash_attention_2,1033.15
Mixtral,layer,EXACT,100.0,8.0,4096.0,6144.0,16384.0,8.0,24500.444173812863,flash_attention_2,1337.45
Mixtral,layer,Samoyeds,100.0,8.0,4096.0,6144.0,16384.0,8.0,24239.2692565918,flash_attention_2,1351.86
Mixtral,layer,megablocks,100.0,8.0,4096.0,6144.0,16384.0,8.0,33194.74101066589,flash_attention_2,987.14
Mixtral,layer,GEMM,100.0,8.0,4096.0,6144.0,16384.0,8.0,31861.350297927856,flash_attention_2,1028.46
Mixtral,layer,EXACT,100.0,16.0,4096.0,6144.0,16384.0,8.0,48817.24214553833,flash_attention_2,1342.48
Mixtral,layer,Samoyeds,100.0,16.0,4096.0,6144.0,16384.0,8.0,47978.867530822754,flash_attention_2,1365.93
Mixtral,layer,megablocks,100.0,16.0,4096.0,6144.0,16384.0,8.0,66672.57571220398,flash_attention_2,982.95
Mixtral,layer,GEMM,100.0,16.0,4096.0,6144.0,16384.0,8.0,63335.317611694336,flash_attention_2,1034.75
Mixtral,layer,EXACT,100.0,32.0,4096.0,6144.0,16384.0,8.0,97920.53627967834,flash_attention_2,1338.55
Mixtral,layer,Samoyeds,100.0,32.0,4096.0,6144.0,16384.0,8.0,96372.87259101868,flash_attention_2,1360.05
Mixtral,layer,GEMM,100.0,32.0,4096.0,6144.0,16384.0,8.0,129574.47457313538,flash_attention_2,1011.56
DeepSeek,layer,EXACT,100.0,1.0,4096.0,2048.0,1408.0,64.0,974.08127784729,flash_attention_2,4204.99
DeepSeek,layer,Samoyeds,100.0,1.0,4096.0,2048.0,1408.0,64.0,960.6766700744628,flash_attention_2,4263.66
DeepSeek,layer,megablocks,100.0,1.0,4096.0,2048.0,1408.0,64.0,600.3320217132568,flash_attention_2,6822.89
DeepSeek,layer,GEMM,100.0,1.0,4096.0,2048.0,1408.0,64.0,1149.0859985351562,flash_attention_2,3564.57
DeepSeek,layer,EXACT,100.0,2.0,4096.0,2048.0,1408.0,64.0,1551.121473312378,flash_attention_2,5281.34
DeepSeek,layer,Samoyeds,100.0,2.0,4096.0,2048.0,1408.0,64.0,1559.885025024414,flash_attention_2,5251.67
DeepSeek,layer,megablocks,100.0,2.0,4096.0,2048.0,1408.0,64.0,1231.8313121795654,flash_attention_2,6650.26
DeepSeek,layer,GEMM,100.0,2.0,4096.0,2048.0,1408.0,64.0,1773.8752365112305,flash_attention_2,4618.14
DeepSeek,layer,EXACT,100.0,4.0,4096.0,2048.0,1408.0,64.0,3044.2934036254883,flash_attention_2,5381.87
DeepSeek,layer,Samoyeds,100.0,4.0,4096.0,2048.0,1408.0,64.0,3088.196039199829,flash_attention_2,5305.36
DeepSeek,layer,megablocks,100.0,4.0,4096.0,2048.0,1408.0,64.0,2667.929649353028,flash_attention_2,6141.09
DeepSeek,layer,GEMM,100.0,4.0,4096.0,2048.0,1408.0,64.0,3321.5856552124023,flash_attention_2,4932.58
DeepSeek,layer,EXACT,100.0,8.0,4096.0,2048.0,1408.0,64.0,5884.597301483154,flash_attention_2,5568.44
DeepSeek,layer,Samoyeds,100.0,8.0,4096.0,2048.0,1408.0,64.0,5975.352764129639,flash_attention_2,5483.86
DeepSeek,layer,megablocks,100.0,8.0,4096.0,2048.0,1408.0,64.0,5304.732322692871,flash_attention_2,6177.13
DeepSeek,layer,GEMM,100.0,8.0,4096.0,2048.0,1408.0,64.0,6366.546392440796,flash_attention_2,5146.9
DeepSeek,layer,EXACT,100.0,16.0,4096.0,2048.0,1408.0,64.0,11461.430072784424,flash_attention_2,5717.96
DeepSeek,layer,Samoyeds,100.0,16.0,4096.0,2048.0,1408.0,64.0,11698.1098651886,flash_attention_2,5602.27
DeepSeek,layer,megablocks,100.0,16.0,4096.0,2048.0,1408.0,64.0,10472.696304321287,flash_attention_2,6257.8
DeepSeek,layer,GEMM,100.0,16.0,4096.0,2048.0,1408.0,64.0,12623.469114303589,flash_attention_2,5191.6
DeepSeek,layer,EXACT,100.0,32.0,4096.0,2048.0,1408.0,64.0,22641.031980514526,flash_attention_2,5789.14
DeepSeek,layer,Samoyeds,100.0,32.0,4096.0,2048.0,1408.0,64.0,23036.20219230652,flash_attention_2,5689.83
DeepSeek,layer,megablocks,100.0,32.0,4096.0,2048.0,1408.0,64.0,20575.76084136963,flash_attention_2,6370.21
DeepSeek,layer,GEMM,100.0,32.0,4096.0,2048.0,1408.0,64.0,25016.140937805176,flash_attention_2,5239.5
DeepSeek,layer,EXACT,100.0,64.0,4096.0,2048.0,1408.0,64.0,45058.07948112488,flash_attention_2,5817.91
DeepSeek,layer,Samoyeds,100.0,64.0,4096.0,2048.0,1408.0,64.0,45789.69430923462,flash_attention_2,5724.96
DeepSeek,layer,GEMM,100.0,64.0,4096.0,2048.0,1408.0,64.0,49467.02647209168,flash_attention_2,5299.37
qwen2_moe,layer,EXACT,100.0,1.0,4096.0,2048.0,5632.0,60.0,1894.3300247192385,flash_attention_2,2162.24
qwen2_moe,layer,Samoyeds,100.0,1.0,4096.0,2048.0,5632.0,60.0,1808.764934539795,flash_attention_2,2264.53
qwen2_moe,layer,megablocks,100.0,1.0,4096.0,2048.0,5632.0,60.0,1007.643699645996,flash_attention_2,4064.93
qwen2_moe,layer,GEMM,100.0,1.0,4096.0,2048.0,5632.0,60.0,1592.475175857544,flash_attention_2,2572.1
qwen2_moe,layer,EXACT,100.0,2.0,4096.0,2048.0,5632.0,60.0,2929.117441177368,flash_attention_2,2796.75
qwen2_moe,layer,Samoyeds,100.0,2.0,4096.0,2048.0,5632.0,60.0,2950.623750686645,flash_attention_2,2776.36
qwen2_moe,layer,megablocks,100.0,2.0,4096.0,2048.0,5632.0,60.0,2071.30765914917,flash_attention_2,3954.99
qwen2_moe,layer,GEMM,100.0,2.0,4096.0,2048.0,5632.0,60.0,2787.708282470703,flash_attention_2,2938.61
qwen2_moe,layer,EXACT,100.0,4.0,4096.0,2048.0,5632.0,60.0,5101.146697998047,flash_attention_2,3211.83
qwen2_moe,layer,Samoyeds,100.0,4.0,4096.0,2048.0,5632.0,60.0,5183.892250061035,flash_attention_2,3160.56
qwen2_moe,layer,megablocks,100.0,4.0,4096.0,2048.0,5632.0,60.0,4423.001527786255,flash_attention_2,3704.27
qwen2_moe,layer,GEMM,100.0,4.0,4096.0,2048.0,5632.0,60.0,5299.462795257568,flash_attention_2,3091.63
qwen2_moe,layer,EXACT,100.0,8.0,4096.0,2048.0,5632.0,60.0,9111.356258392334,flash_attention_2,3596.39
qwen2_moe,layer,Samoyeds,100.0,8.0,4096.0,2048.0,5632.0,60.0,9279.072761535645,flash_attention_2,3531.39
qwen2_moe,layer,megablocks,100.0,8.0,4096.0,2048.0,5632.0,60.0,8757.6904296875,flash_attention_2,3741.63
qwen2_moe,layer,GEMM,100.0,8.0,4096.0,2048.0,5632.0,60.0,10072.360038757324,flash_attention_2,3253.26
qwen2_moe,layer,EXACT,100.0,16.0,4096.0,2048.0,5632.0,60.0,16990.530252456665,flash_attention_2,3857.21
qwen2_moe,layer,Samoyeds,100.0,16.0,4096.0,2048.0,5632.0,60.0,17459.436893463135,flash_attention_2,3753.61
qwen2_moe,layer,megablocks,100.0,16.0,4096.0,2048.0,5632.0,60.0,17222.766637802124,flash_attention_2,3805.2
qwen2_moe,layer,GEMM,100.0,16.0,4096.0,2048.0,5632.0,60.0,20164.122819900516,flash_attention_2,3250.13
qwen2_moe,layer,EXACT,100.0,32.0,4096.0,2048.0,5632.0,60.0,33132.776975631714,flash_attention_2,3955.96
qwen2_moe,layer,Samoyeds,100.0,32.0,4096.0,2048.0,5632.0,60.0,33995.22924423218,flash_attention_2,3855.6
qwen2_moe,layer,GEMM,100.0,32.0,4096.0,2048.0,5632.0,60.0,40235.86297035217,flash_attention_2,3257.59
qwen2_moe,layer,EXACT,100.0,64.0,4096.0,2048.0,5632.0,60.0,65274.64151382446,flash_attention_2,4016.02
qwen2_moe,layer,Samoyeds,100.0,64.0,4096.0,2048.0,5632.0,60.0,67107.71489143372,flash_attention_2,3906.32
qwen2_moe,layer,GEMM,100.0,64.0,4096.0,2048.0,5632.0,60.0,81501.53040885925,flash_attention_2,3216.43
