model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,1968.6641693115237,flash_attention_2,2080.6
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,1963.5004997253416,flash_attention_2,2086.07
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,2644.587516784668,flash_attention_2,1548.82
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,2536.8471145629883,flash_attention_2,1614.6
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,3862.8997802734375,flash_attention_2,2120.69
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,3842.458724975586,flash_attention_2,2131.97
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,5517.355442047119,flash_attention_2,1484.77
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,5099.570989608765,flash_attention_2,1606.41
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,7556.365251541138,flash_attention_2,2168.24
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,7548.19655418396,flash_attention_2,2170.58
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,11155.44843673706,flash_attention_2,1468.7
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,10605.385780334473,flash_attention_2,1544.88
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,15025.153875350952,flash_attention_2,2180.88
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,14894.63210105896,flash_attention_2,2199.99
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,22841.33100509644,flash_attention_2,1434.59
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,22155.638933181763,flash_attention_2,1478.99
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,30084.526300430294,flash_attention_2,2178.4
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,29866.971015930176,flash_attention_2,2194.26
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,44562.13855743408,flash_attention_2,1470.67
