model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,1662.4345779418943,flash_attention_2,2463.86
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,1963.66548538208,flash_attention_2,2085.89
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,2671.884298324585,flash_attention_2,1533.0
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,2561.4521503448486,flash_attention_2,1599.09
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,3314.339399337769,flash_attention_2,2471.68
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,3848.37818145752,flash_attention_2,2128.69
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,5570.939302444458,flash_attention_2,1470.49
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,5162.632703781128,flash_attention_2,1586.79
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,6492.703199386597,flash_attention_2,2523.45
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,7564.050912857056,flash_attention_2,2166.04
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,11463.52744102478,flash_attention_2,1429.23
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,10845.779180526732,flash_attention_2,1510.63
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,12907.874822616575,flash_attention_2,2538.61
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,15024.00040626526,flash_attention_2,2181.04
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,23500.21457672119,flash_attention_2,1394.37
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,22761.92307472229,flash_attention_2,1439.6
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,25988.27123641968,flash_attention_2,2521.75
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,30215.875148773197,flash_attention_2,2168.93
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,45674.028396606445,flash_attention_2,1434.86
Mixtral,layer,EXACT,100,32,4096,4096,14336,8,52877.2497177124,flash_attention_2,2478.8
Mixtral,layer,Samoyeds,100,32,4096,4096,14336,8,61271.02279663086,flash_attention_2,2139.22
Mixtral,layer,GEMM,100,32,4096,4096,14336,8,92702.7337551117,flash_attention_2,1413.9
Mixtral,layer,GEMM,100,64,4096,4096,14336,8,188763.35430145264,flash_attention_2,1388.74
Mixtral,layer,EXACT,100,1,4096,6144,16384,8,2819.636821746826,flash_attention_2,1452.67
Mixtral,layer,Samoyeds,100,1,4096,6144,16384,8,3477.452516555786,flash_attention_2,1177.87
Mixtral,layer,megablocks,100,1,4096,6144,16384,8,4715.2099609375,flash_attention_2,868.68
Mixtral,layer,GEMM,100,1,4096,6144,16384,8,4575.714826583862,flash_attention_2,895.16
Mixtral,layer,EXACT,100,2,4096,6144,16384,8,5255.997896194458,flash_attention_2,1558.6
Mixtral,layer,Samoyeds,100,2,4096,6144,16384,8,6347.597360610962,flash_attention_2,1290.57
Mixtral,layer,megablocks,100,2,4096,6144,16384,8,9596.624851226808,flash_attention_2,853.63
Mixtral,layer,GEMM,100,2,4096,6144,16384,8,9219.504594802856,flash_attention_2,888.55
Mixtral,layer,EXACT,100,4,4096,6144,16384,8,9998.960256576538,flash_attention_2,1638.57
Mixtral,layer,Samoyeds,100,4,4096,6144,16384,8,12163.28763961792,flash_attention_2,1347.0
Mixtral,layer,megablocks,100,4,4096,6144,16384,8,19743.1857585907,flash_attention_2,829.86
Mixtral,layer,GEMM,100,4,4096,6144,16384,8,18786.949157714844,flash_attention_2,872.09
Mixtral,layer,EXACT,100,8,4096,6144,16384,8,20101.38750076294,flash_attention_2,1630.14
Mixtral,layer,Samoyeds,100,8,4096,6144,16384,8,24459.704875946045,flash_attention_2,1339.67
Mixtral,layer,megablocks,100,8,4096,6144,16384,8,40359.08770561218,flash_attention_2,811.91
Mixtral,layer,GEMM,100,8,4096,6144,16384,8,38846.66585922241,flash_attention_2,843.52
Mixtral,layer,EXACT,100,16,4096,6144,16384,8,40761.79790496826,flash_attention_2,1607.78
Mixtral,layer,Samoyeds,100,16,4096,6144,16384,8,49444.22912597656,flash_attention_2,1325.45
Mixtral,layer,megablocks,100,16,4096,6144,16384,8,78936.1343383789,flash_attention_2,830.24
Mixtral,layer,GEMM,100,16,4096,6144,16384,8,77678.30681800842,flash_attention_2,843.68
Mixtral,layer,EXACT,100,32,4096,6144,16384,8,83693.84002685547,flash_attention_2,1566.09
Mixtral,layer,Samoyeds,100,32,4096,6144,16384,8,101650.41017532349,flash_attention_2,1289.44
Mixtral,layer,GEMM,100,32,4096,6144,16384,8,156639.13202285767,flash_attention_2,836.78
DeepSeek,layer,EXACT,100,1,4096,2048,1408,64,823.0185508728027,flash_attention_2,4976.8
DeepSeek,layer,Samoyeds,100,1,4096,2048,1408,64,896.6202735900879,flash_attention_2,4568.27
DeepSeek,layer,megablocks,100,1,4096,2048,1408,64,529.5851230621338,flash_attention_2,7734.36
DeepSeek,layer,GEMM,100,1,4096,2048,1408,64,1224.954605102539,flash_attention_2,3343.8
DeepSeek,layer,EXACT,100,2,4096,2048,1408,64,1299.8218536376953,flash_attention_2,6302.4
DeepSeek,layer,Samoyeds,100,2,4096,2048,1408,64,1449.9750137329102,flash_attention_2,5649.75
DeepSeek,layer,megablocks,100,2,4096,2048,1408,64,1055.1481246948242,flash_attention_2,7763.84
DeepSeek,layer,GEMM,100,2,4096,2048,1408,64,1806.1871528625488,flash_attention_2,4535.52
DeepSeek,layer,EXACT,100,4,4096,2048,1408,64,2512.043237686157,flash_attention_2,6522.18
DeepSeek,layer,Samoyeds,100,4,4096,2048,1408,64,2807.8296184539795,flash_attention_2,5835.11
DeepSeek,layer,megablocks,100,4,4096,2048,1408,64,2250.271797180176,flash_attention_2,7280.9
DeepSeek,layer,GEMM,100,4,4096,2048,1408,64,3268.754720687866,flash_attention_2,5012.31
DeepSeek,layer,EXACT,100,8,4096,2048,1408,64,4939.927101135254,flash_attention_2,6633.3
DeepSeek,layer,Samoyeds,100,8,4096,2048,1408,64,5470.608234405518,flash_attention_2,5989.83
DeepSeek,layer,megablocks,100,8,4096,2048,1408,64,4557.234287261963,flash_attention_2,7190.33
DeepSeek,layer,GEMM,100,8,4096,2048,1408,64,6445.716857910156,flash_attention_2,5083.69
DeepSeek,layer,EXACT,100,16,4096,2048,1408,64,9613.941192626951,flash_attention_2,6816.77
DeepSeek,layer,Samoyeds,100,16,4096,2048,1408,64,10642.470598220823,flash_attention_2,6157.97
DeepSeek,layer,megablocks,100,16,4096,2048,1408,64,9585.17289161682,flash_attention_2,6837.23
DeepSeek,layer,GEMM,100,16,4096,2048,1408,64,13643.099308013916,flash_attention_2,4803.6
DeepSeek,layer,EXACT,100,32,4096,2048,1408,64,19032.530784606934,flash_attention_2,6886.74
DeepSeek,layer,Samoyeds,100,32,4096,2048,1408,64,21208.516597747803,flash_attention_2,6180.16
DeepSeek,layer,megablocks,100,32,4096,2048,1408,64,19412.214756011963,flash_attention_2,6752.04
DeepSeek,layer,GEMM,100,32,4096,2048,1408,64,27939.30292129517,flash_attention_2,4691.31
DeepSeek,layer,EXACT,100,64,4096,2048,1408,64,38534.84511375427,flash_attention_2,6802.78
DeepSeek,layer,Samoyeds,100,64,4096,2048,1408,64,42468.39880943298,flash_attention_2,6172.68
DeepSeek,layer,GEMM,100,64,4096,2048,1408,64,55948.69685173035,flash_attention_2,4685.44
qwen2_moe,layer,EXACT,100,1,4096,2048,5632,60,1412.855863571167,flash_attention_2,2899.09
qwen2_moe,layer,Samoyeds,100,1,4096,2048,5632,60,1638.1380558013916,flash_attention_2,2500.4
qwen2_moe,layer,megablocks,100,1,4096,2048,5632,60,852.2136211395264,flash_attention_2,4806.31
qwen2_moe,layer,GEMM,100,1,4096,2048,5632,60,1573.4412670135498,flash_attention_2,2603.21
qwen2_moe,layer,EXACT,100,2,4096,2048,5632,60,2237.936019897461,flash_attention_2,3660.52
qwen2_moe,layer,Samoyeds,100,2,4096,2048,5632,60,2735.915184020996,flash_attention_2,2994.24
qwen2_moe,layer,megablocks,100,2,4096,2048,5632,60,1738.07692527771,flash_attention_2,4713.26
qwen2_moe,layer,GEMM,100,2,4096,2048,5632,60,2830.20567893982,flash_attention_2,2894.49
qwen2_moe,layer,EXACT,100,4,4096,2048,5632,60,4118.4492111206055,flash_attention_2,3978.2
qwen2_moe,layer,Samoyeds,100,4,4096,2048,5632,60,4990.135669708252,flash_attention_2,3283.28
qwen2_moe,layer,megablocks,100,4,4096,2048,5632,60,3748.983144760132,flash_attention_2,4370.25
qwen2_moe,layer,GEMM,100,4,4096,2048,5632,60,5679.39567565918,flash_attention_2,2884.81
qwen2_moe,layer,EXACT,100,8,4096,2048,5632,60,7768.59450340271,flash_attention_2,4218.01
qwen2_moe,layer,Samoyeds,100,8,4096,2048,5632,60,9050.57406425476,flash_attention_2,3620.54
qwen2_moe,layer,megablocks,100,8,4096,2048,5632,60,7849.565267562866,flash_attention_2,4174.5
qwen2_moe,layer,GEMM,100,8,4096,2048,5632,60,11516.061782836914,flash_attention_2,2845.42
qwen2_moe,layer,EXACT,100,16,4096,2048,5632,60,14987.587451934814,flash_attention_2,4372.69
qwen2_moe,layer,Samoyeds,100,16,4096,2048,5632,60,17733.786582946777,flash_attention_2,3695.54
qwen2_moe,layer,megablocks,100,16,4096,2048,5632,60,16176.05471611023,flash_attention_2,4051.42
qwen2_moe,layer,GEMM,100,16,4096,2048,5632,60,23748.554468154907,flash_attention_2,2759.58
qwen2_moe,layer,EXACT,100,32,4096,2048,5632,60,30429.908514022827,flash_attention_2,4307.34
qwen2_moe,layer,Samoyeds,100,32,4096,2048,5632,60,35918.74432563782,flash_attention_2,3649.13
qwen2_moe,layer,GEMM,100,32,4096,2048,5632,60,48502.023220062256,flash_attention_2,2702.4
qwen2_moe,layer,EXACT,100,64,4096,2048,5632,60,61351.09877586365,flash_attention_2,4272.85
qwen2_moe,layer,Samoyeds,100,64,4096,2048,5632,60,72158.98323059082,flash_attention_2,3632.87
qwen2_moe,layer,GEMM,100,64,4096,2048,5632,60,97880.09977340698,flash_attention_2,2678.22
