model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
Mixtral,layer,EXACT,100,1,4096,4096,14336,8,3502.4399757385254,flash_attention_2,1169.47
Mixtral,layer,Samoyeds,100,1,4096,4096,14336,8,3500.319242477417,flash_attention_2,1170.18
Mixtral,layer,megablocks,100,1,4096,4096,14336,8,4757.411956787109,flash_attention_2,860.97
Mixtral,layer,GEMM,100,1,4096,4096,14336,8,3911.100149154663,flash_attention_2,1047.28
Mixtral,layer,EXACT,100,2,4096,4096,14336,8,7112.5898361206055,flash_attention_2,1151.76
Mixtral,layer,Samoyeds,100,2,4096,4096,14336,8,7159.406900405884,flash_attention_2,1144.23
Mixtral,layer,megablocks,100,2,4096,4096,14336,8,9631.193161010742,flash_attention_2,850.57
Mixtral,layer,GEMM,100,2,4096,4096,14336,8,7587.825536727905,flash_attention_2,1079.62
Mixtral,layer,EXACT,100,4,4096,4096,14336,8,14513.609409332275,flash_attention_2,1128.87
Mixtral,layer,Samoyeds,100,4,4096,4096,14336,8,14479.355573654177,flash_attention_2,1131.54
Mixtral,layer,megablocks,100,4,4096,4096,14336,8,19434.871435165405,flash_attention_2,843.02
Mixtral,layer,GEMM,100,4,4096,4096,14336,8,14711.640357971191,flash_attention_2,1113.68
Mixtral,layer,EXACT,100,8,4096,4096,14336,8,32936.48052215576,flash_attention_2,994.88
Mixtral,layer,Samoyeds,100,8,4096,4096,14336,8,33036.89932823181,flash_attention_2,991.86
Mixtral,layer,megablocks,100,8,4096,4096,14336,8,39077.885389328,flash_attention_2,838.53
Mixtral,layer,GEMM,100,8,4096,4096,14336,8,29035.78877449036,flash_attention_2,1128.54
Mixtral,layer,EXACT,100,16,4096,4096,14336,8,76712.70155906677,flash_attention_2,854.3
Mixtral,layer,Samoyeds,100,16,4096,4096,14336,8,76416.34559631348,flash_attention_2,857.62
Mixtral,layer,GEMM,100,16,4096,4096,14336,8,58022.38869667053,flash_attention_2,1129.5
Mixtral,layer,EXACT,100,32,4096,4096,14336,8,173184.60774421692,flash_attention_2,756.83
Mixtral,layer,Samoyeds,100,32,4096,4096,14336,8,173686.11454963684,flash_attention_2,754.65
Mixtral,layer,GEMM,100,32,4096,4096,14336,8,117165.23265838625,flash_attention_2,1118.69
Mixtral,layer,GEMM,100,64,4096,4096,14336,8,237165.2810573578,flash_attention_2,1105.32
Mixtral,layer,EXACT,100,1,4096,6144,16384,8,6493.834257125855,flash_attention_2,630.75
Mixtral,layer,Samoyeds,100,1,4096,6144,16384,8,6476.786375045776,flash_attention_2,632.41
